,Unnamed: 0,Fragment,CV,Shannon_uniformity,Gini,LogDiff,exp
21,21,F22,0.8684404717133812,0.949986953544934,0.4458733651021079,1.1009618769914868,golden gate
22,22,F23,0.8734007028252869,0.949517377812752,0.4469544189755931,1.1585536619617165,golden gate
23,23,F24,0.8567670590657327,0.9545687977824512,0.4249357311137416,0.9715856309291137,golden gate
24,24,F25,0.6616380253780795,0.9704700939727172,0.3451414625890793,0.731804479903305,golden gate
25,25,F26,0.5537943517308974,0.9776210928851125,0.3039753622906911,0.6497051977896788,golden gate
26,26,F27,0.5206663285821598,0.9801872212213713,0.2842396149766846,0.61568651791639,golden gate
27,27,F28,0.529442598173854,0.979100084080076,0.2929531294529477,0.6489213548223347,golden gate
28,28,F29,0.57143388487198,0.9754775300119152,0.3172737829818436,0.735041111219874,golden gate
29,29,F30,0.574430264243417,0.9757336063666644,0.3115597350090696,0.6700896696306522,golden gate
30,30,F31,0.5346127628173398,0.979277009699948,0.2934442874806959,0.6363635849595486,golden gate
31,31,F32,0.6234148170031526,0.9721614975412832,0.3401349071176299,0.7516796159209265,golden gate
32,32,F33,0.8438140020885034,0.9522561506581336,0.4386029778303583,1.0774990187077615,golden gate
33,33,F34,0.5121153713277744,0.9809077842499736,0.282602951057702,0.604584890689754,golden gate
34,34,F35,0.5535023630380732,0.977501354562572,0.305695915444279,0.6728606044963912,golden gate
35,35,F36,0.6190612149550854,0.9723772219245156,0.3364536536404634,0.7888216280476494,golden gate
36,36,F37,0.5705161294764759,0.9760874778851124,0.3088162727461909,0.6560156028058799,golden gate
37,37,F38,0.462212261294338,0.9844749237030064,0.2544074195353535,0.5369009616229077,golden gate
38,38,F39,0.4405839830705752,0.985715341946731,0.2430945742194302,0.4881747088380601,golden gate
39,39,F40,0.5253739798259692,0.9801679908209816,0.2839425564031486,0.6263433686163151,golden gate
40,40,F41,0.53268020157899,0.9795812198732508,0.2925850351628386,0.6433733953938265,golden gate
41,41,F42,0.4340188852732431,0.9858852405470198,0.2430006372640784,0.5272940629609693,golden gate
42,42,F43,0.5361932585884434,0.978347477426898,0.2931834952625359,0.6031847585989611,golden gate
0,0,F1,0.4781580055633266,0.9831580276723336,0.2652156069049781,0.5693007406346853,gibson
1,1,F10,0.3781283828770794,0.9892136148113518,0.2086779707017079,0.421852166077449,gibson
2,2,F11,0.4387215357632116,0.9856291205082406,0.2444007525198769,0.5370101473665305,gibson
3,3,F12,0.4958022282399728,0.9811637536021658,0.2747454537989586,0.6245814831047825,gibson
4,4,F13,0.494118275267689,0.9818280100111432,0.2736905906762689,0.5892857032915337,gibson
5,5,F14,0.4637171880104139,0.9842462253801249,0.2552365834396511,0.5447568541408283,gibson
6,6,F15,0.4349052693522692,0.9855295730486944,0.2441078787632299,0.5360401913383086,gibson
7,7,F16,0.4386622013879713,0.9859220091548854,0.2411643664820285,0.4884195295240943,gibson
8,8,F17,0.4242195473904749,0.986570871542052,0.2353985282583633,0.502882116864084,gibson
9,9,F18,0.4880298036583917,0.982834913159312,0.2665378376487315,0.5610364472730522,gibson
10,10,F19,0.4986857076639915,0.980739918972818,0.2759902025562974,0.6056302537994209,gibson
11,11,F2,0.6791404724108663,0.9680609703155222,0.3602904031938561,0.8002013911267178,gibson
12,12,F20,0.4653202289433331,0.984616377339326,0.2514249693839635,0.508461006925909,gibson
13,13,F21,0.6027037430522884,0.9735298085157438,0.3287999851209985,0.745270023988988,gibson
14,14,F22,0.7004796218330602,0.9661434821549916,0.3703885403290499,0.8562344061322165,gibson
15,15,F23,0.6586912033108953,0.9703479159807772,0.3479352175888651,0.7294593264839193,gibson
16,16,F24,0.7094605827853302,0.967297875548014,0.3643333672199588,0.7458551951737289,gibson
17,17,F25,0.5059198909052892,0.981758741007594,0.2745132967143587,0.5902781607798557,gibson
18,18,F26,0.4522770766486259,0.9853305864926653,0.2477045355604678,0.5199737546369303,gibson
19,19,F27,0.399110426050149,0.988108635855534,0.2223018320021472,0.4707707754639627,gibson
20,20,F28,0.3589721367555854,0.9902882436620246,0.1998794132923899,0.3957071272397456,gibson
21,21,F29,0.4989945192375549,0.981720371939808,0.2756620946974962,0.6050655014676876,gibson
22,22,F3,0.7129225142202463,0.9642207850875182,0.3813732305558399,0.8846065812979305,gibson
23,23,F30,0.4346687025453639,0.9852163144035512,0.2402036419920351,0.4887031272694777,gibson
24,24,F31,0.4099151776932017,0.987394793211238,0.2286823832833402,0.4903831853874991,gibson
25,25,F32,0.5557065350447453,0.9783090172312444,0.2995074489213489,0.6275071135404415,gibson
26,26,F33,0.5376639887263516,0.9796982251311758,0.2890276441747488,0.5976951859255124,gibson
