,Fragment,class,count,msum,n_pcr,perc,mut_sum,mut_avg,tot_mut,perc_mutations,pcr_set,More_than_4,More_than_9,n,>4,>9,nclones_pcr,nclones,nclones_bp
63,F43,GOOD,15924,61828,16,25.75532121368959,373,20.72222222222222,378.0,98.67724867724868,1,375,373,377,99.46949602122017,98.93899204244032,7500.0,120000.0,2353
64,F13,GOOD,2984,3670,1,81.30790190735695,506,20.24,525.0,96.38095238095238,2,333,139,508,65.5511811023622,27.36220472440945,5000.0,5000.0,67
65,F43,GOOD,12757,16466,1,77.47479655046763,373,20.72222222222222,378.0,98.67724867724868,2,373,365,375,99.46666666666668,97.33333333333334,7500.0,7500.0,147
66,F13,GOOD,6291,7925,2,79.38170347003155,518,20.72,525.0,98.66666666666669,2,481,364,521,92.32245681381956,69.86564299424184,5000.0,10000.0,133
67,F43,GOOD,16396,22875,2,71.67650273224044,373,20.72222222222222,378.0,98.67724867724868,2,373,373,376,99.20212765957449,99.20212765957449,7500.0,15000.0,294
68,F13,GOOD,8230,10627,3,77.44424578902795,518,20.72,525.0,98.66666666666669,2,507,435,523,96.94072657743786,83.17399617590823,5000.0,15000.0,200
69,F43,GOOD,19353,29924,3,64.67384039566902,373,20.72222222222222,378.0,98.67724867724868,2,373,373,376,99.20212765957449,99.20212765957449,7500.0,22500.0,441
70,F13,GOOD,9636,12585,4,76.56734207389749,518,20.72,525.0,98.66666666666669,2,513,460,523,98.08795411089864,87.95411089866157,5000.0,20000.0,267
71,F43,GOOD,21176,36609,4,57.84369963670136,373,20.72222222222222,378.0,98.67724867724868,2,373,373,376,99.20212765957449,99.20212765957449,7500.0,30000.0,588
72,F13,GOOD,12038,16116,5,74.69595433109953,518,20.72,525.0,98.66666666666669,2,515,497,524,98.2824427480916,94.8473282442748,5000.0,25000.0,333
73,F43,GOOD,21735,43470,5,50.0,373,20.72222222222222,378.0,98.67724867724868,2,373,373,376,99.20212765957449,99.20212765957449,7500.0,37500.0,735
74,F13,GOOD,12040,16119,6,74.69445995409144,518,20.72,525.0,98.66666666666669,2,515,497,524,98.2824427480916,94.8473282442748,5000.0,30000.0,400
75,F43,GOOD,21582,45895,6,47.02473036278462,373,20.72222222222222,378.0,98.67724867724868,2,373,373,376,99.20212765957449,99.20212765957449,7500.0,45000.0,882
76,F13,GOOD,16971,24226,7,70.05283579625196,518,20.72,525.0,98.66666666666669,2,520,515,524,99.23664122137404,98.2824427480916,5000.0,35000.0,467
77,F43,GOOD,21324,48483,7,43.982426830022895,373,20.72222222222222,378.0,98.67724867724868,2,373,373,376,99.20212765957449,99.20212765957449,7500.0,52500.0,1029
78,F13,GOOD,16970,24228,8,70.04292554069671,518,20.72,525.0,98.66666666666669,2,520,515,524,99.23664122137404,98.2824427480916,5000.0,40000.0,533
